"Município";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"312470 ESTRELA DO INDAIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46962";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46962"
"312480 ESTRELA DO SUL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"105347";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"105347"
"312490 EUGENOPOLIS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"149444";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"149444"
"312500 EWBANK DA CAMARA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"64689";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"64689"
"312510 EXTREMA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"491134";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"491134"
"312520 FAMA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26909";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26909"
"312530 FARIA LEMOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"60831";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"60831"
"312540 FELICIO DOS SANTOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"96827";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"96827"
"312550 SAO GONCALO DO RIO PRETO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50892";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50892"
"312560 FELISBURGO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"140847";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"140847"
